,title,subheading,location,transliteration,translation,arabic_verse_part,arabic_word
13156,ب ن ي,Noun,(5:75:3),ub'nu,son,مَا الْمَسِيحُ ابْنُ مَرْيَمَ إِلَّا رَسُولٌ قَدْ خَلَتْ مِنْ قَبْلِهِ الرُّسُلُ,ابْنُ
13157,ب ن ي,Noun,(5:78:11),ib'ni,son,لُعِنَ الَّذِينَ كَفَرُوا مِنْ بَنِي إِسْرَائِيلَ عَلَىٰ لِسَانِ دَاوُودَ وَعِيسَى ابْنِ مَرْيَمَ,ابْنِ
13158,ب ن ي,Noun,(5:110:5),ib'na,son,إِذْ قَالَ اللَّهُ يَا عِيسَى ابْنَ مَرْيَمَ اذْكُرْ نِعْمَتِي عَلَيْكَ وَعَلَىٰ وَالِدَتِكَ,ابْنَ
13159,ب ن ي,Noun,(5:112:5),ib'na,son,إِذْ قَالَ الْحَوَارِيُّونَ يَا عِيسَى ابْنَ مَرْيَمَ هَلْ يَسْتَطِيعُ رَبُّكَ,ابْنَ
13160,ب ن ي,Noun,(5:114:3),ub'nu,son,قَالَ عِيسَى ابْنُ مَرْيَمَ اللَّهُمَّ رَبَّنَا أَنْزِلْ عَلَيْنَا مَائِدَةً مِنَ السَّمَاءِ,ابْنُ
13161,ب ن ي,Noun,(5:116:5),ib'na,son,وَإِذْ قَالَ اللَّهُ يَا عِيسَى ابْنَ مَرْيَمَ أَأَنْتَ قُلْتَ لِلنَّاسِ اتَّخِذُونِي وَأُمِّيَ إِلَٰهَيْنِ,ابْنَ
13162,ب ن ي,Noun,(6:20:7),abnāahumu,their sons,الَّذِينَ آتَيْنَاهُمُ الْكِتَابَ يَعْرِفُونَهُ كَمَا يَعْرِفُونَ أَبْنَاءَهُمُ,أَبْنَاءَهُمُ
13163,ب ن ي,Noun,(7:127:16),abnāahum,their sons,قَالَ سَنُقَتِّلُ أَبْنَاءَهُمْ وَنَسْتَحْيِي نِسَاءَهُمْ وَإِنَّا فَوْقَهُمْ قَاهِرُونَ,أَبْنَاءَهُمْ
13164,ب ن ي,Noun,(7:141:10),abnāakum,your sons,يُقَتِّلُونَ أَبْنَاءَكُمْ وَيَسْتَحْيُونَ نِسَاءَكُمْ,أَبْنَاءَكُمْ
13165,ب ن ي,Noun,(7:150:24),ib'na,O son,قَالَ ابْنَ أُمَّ إِنَّ الْقَوْمَ اسْتَضْعَفُونِي وَكَادُوا يَقْتُلُونَنِي,ابْنَ
13166,ب ن ي,Noun,(8:41:14),wa-ib'ni,and the,فَأَنَّ لِلَّهِ خُمُسَهُ وَلِلرَّسُولِ وَلِذِي الْقُرْبَىٰ وَالْيَتَامَىٰ وَالْمَسَاكِينِ وَابْنِ السَّبِيلِ,وَابْنِ
13167,ب ن ي,Noun,(9:24:5),wa-abnāukum,and your sons,قُلْ إِنْ كَانَ آبَاؤُكُمْ وَأَبْنَاؤُكُمْ وَإِخْوَانُكُمْ وَأَزْوَاجُكُمْ وَعَشِيرَتُكُمْ وَأَمْوَالٌ اقْتَرَفْتُمُوهَا وَتِجَارَةٌ تَخْشَوْنَ كَسَادَهَا وَمَسَاكِنُ تَرْضَوْنَهَا أَحَبَّ إِلَيْكُمْ مِنَ اللَّهِ وَرَسُولِهِ وَجِهَادٍ فِي سَبِيلِهِ فَتَرَبَّصُوا,وَأَبْنَاؤُكُمْ
13168,ب ن ي,Noun,(9:30:4),ub'nu,(is) son,وَقَالَتِ الْيَهُودُ عُزَيْرٌ ابْنُ اللَّهِ,ابْنُ
13169,ب ن ي,Noun,(9:30:9),ub'nu,(is) son,وَقَالَتِ النَّصَارَى الْمَسِيحُ ابْنُ اللَّهِ,ابْنُ
13170,ب ن ي,Noun,(9:31:9),ib'na,son,اتَّخَذُوا أَحْبَارَهُمْ وَرُهْبَانَهُمْ أَرْبَابًا مِنْ دُونِ اللَّهِ وَالْمَسِيحَ ابْنَ مَرْيَمَ,ابْنَ
13171,ب ن ي,Noun,(9:60:15),wa-ib'ni,and the wayfarer,وَفِي الرِّقَابِ وَالْغَارِمِينَ وَفِي سَبِيلِ اللَّهِ وَابْنِ السَّبِيلِ,وَابْنِ
13172,ب ن ي,Noun,(11:42:9),ib'nahu,(to) his son,وَنَادَىٰ نُوحٌ ابْنَهُ وَكَانَ فِي مَعْزِلٍ يَا بُنَيَّ ارْكَبْ مَعَنَا,ابْنَهُ
13173,ب ن ي,Noun,(11:45:7),ib'nī,my son,فَقَالَ رَبِّ إِنَّ ابْنِي مِنْ أَهْلِي وَإِنَّ وَعْدَكَ الْحَقُّ,ابْنِي
13174,ب ن ي,Noun,(12:81:7),ib'naka,your son,ارْجِعُوا إِلَىٰ أَبِيكُمْ فَقُولُوا يَا أَبَانَا إِنَّ ابْنَكَ سَرَقَ,ابْنَكَ
13175,ب ن ي,Noun,(14:6:18),abnāakum,your sons,يَسُومُونَكُمْ سُوءَ الْعَذَابِ وَيُذَبِّحُونَ أَبْنَاءَكُمْ,أَبْنَاءَكُمْ
13176,ب ن ي,Noun,(17:26:6),wa-ib'na,and the wayfarer,وَآتِ ذَا الْقُرْبَىٰ حَقَّهُ وَالْمِسْكِينَ وَابْنَ السَّبِيلِ,وَابْنَ
13177,ب ن ي,Noun,(19:34:3),ub'nu,(the) son,ذَٰلِكَ عِيسَى ابْنُ مَرْيَمَ قَوْلَ الْحَقِّ الَّذِي فِيهِ يَمْتَرُونَ,ابْنُ
13178,ب ن ي,Noun,(20:94:2),yabna-umma,O son of my mother,قَالَ يَا ابْنَ أُمَّ لَا تَأْخُذْ بِلِحْيَتِي وَلَا بِرَأْسِي,يَا ابْنَ أُمَّ
13179,ب ن ي,Noun,(21:91:9),wa-ib'nahā,and her son,وَجَعَلْنَاهَا وَابْنَهَا آيَةً لِلْعَالَمِينَ,وَابْنَهَا
13180,ب ن ي,Noun,(23:50:2),ib'na,(the) son,وَجَعَلْنَا ابْنَ مَرْيَمَ وَأُمَّهُ آيَةً وَآوَيْنَاهُمَا إِلَىٰ رَبْوَةٍ,ابْنَ
13181,ب ن ي,Noun,(24:31:30),abnāihinna,their sons,إِلَّا لِبُعُولَتِهِنَّ أَوْ آبَائِهِنَّ أَوْ آبَاءِ بُعُولَتِهِنَّ أَوْ أَبْنَائِهِنَّ,أَبْنَائِهِنَّ
13182,ب ن ي,Noun,(24:31:32),abnāi,sons,أَوْ أَبْنَائِهِنَّ أَوْ أَبْنَاءِ بُعُولَتِهِنَّ أَوْ إِخْوَانِهِنَّ,أَبْنَاءِ
13183,ب ن ي,Noun,(28:4:13),abnāahum,their sons,يَسْتَضْعِفُ طَائِفَةً مِنْهُمْ يُذَبِّحُ أَبْنَاءَهُمْ وَيَسْتَحْيِي نِسَاءَهُمْ,أَبْنَاءَهُمْ
13184,ب ن ي,Noun,(30:38:6),wa-ib'na,and the wayfarer,فَآتِ ذَا الْقُرْبَىٰ حَقَّهُ وَالْمِسْكِينَ وَابْنَ السَّبِيلِ,وَابْنَ
13185,ب ن ي,Noun,(31:13:4),li-ib'nihi,to his son,وَإِذْ قَالَ لُقْمَانُ لِابْنِهِ وَهُوَ يَعِظُهُ يَا بُنَيَّ لَا تُشْرِكْ بِاللَّهِ,لِابْنِهِ
13186,ب ن ي,Noun,(33:4:19),abnāakum,your sons,وَمَا جَعَلَ أَدْعِيَاءَكُمْ أَبْنَاءَكُمْ ذَٰلِكُمْ قَوْلُكُمْ بِأَفْوَاهِكُمْ,أَبْنَاءَكُمْ
13187,ب ن ي,Noun,(33:7:12),ib'ni,son,وَإِذْ أَخَذْنَا مِنَ النَّبِيِّينَ مِيثَاقَهُمْ وَمِنْكَ وَمِنْ نُوحٍ وَإِبْرَاهِيمَ وَمُوسَىٰ وَعِيسَى ابْنِ مَرْيَمَ,ابْنِ
13188,ب ن ي,Noun,(33:55:7),abnāihinna,their sons,لَا جُنَاحَ عَلَيْهِنَّ فِي آبَائِهِنَّ وَلَا أَبْنَائِهِنَّ وَلَا إِخْوَانِهِنَّ,أَبْنَائِهِنَّ
13189,ب ن ي,Noun,(33:55:11),abnāi,sons,لَا جُنَاحَ عَلَيْهِنَّ فِي آبَائِهِنَّ وَلَا أَبْنَائِهِنَّ وَلَا إِخْوَانِهِنَّ وَلَا أَبْنَاءِ إِخْوَانِهِنَّ,أَبْنَاءِ
13190,ب ن ي,Noun,(33:55:14),abnāi,sons,وَلَا أَبْنَاءِ أَخَوَاتِهِنَّ وَلَا نِسَائِهِنَّ,أَبْنَاءِ
13191,ب ن ي,Noun,(40:25:8),abnāa,(the) sons,قَالُوا اقْتُلُوا أَبْنَاءَ الَّذِينَ آمَنُوا مَعَهُ وَاسْتَحْيُوا نِسَاءَهُمْ,أَبْنَاءَ
13192,ب ن ي,Noun,(43:57:3),ub'nu,(the) son,وَلَمَّا ضُرِبَ ابْنُ مَرْيَمَ مَثَلًا إِذَا قَوْمُكَ مِنْهُ يَصِدُّونَ,ابْنُ
